name,key,gender
Albert Einstein,QWxiZXJ0,M
Alexandre Dumas-fils,QWxleGFu,M
Alexandre Dumas fils,QWxleGFu,M
Alexandre Dumas,fils,QWxleGFu,M
Alexandre Dumas,QWxleGFu,M
Alfred Tennyson,QWxmcmVk,M
Allen Saunders,QWxsZW4t,M
André Gide,QW5kcmUt,M
Ayn Rand,QXluLVJh,F
Bob Marley,Qm9iLU1h,M
C.S. Lewis,Qy1TLUxl,M
Charles Bukowski,Q2hhcmxl,M
Charles M. Schulz,Q3hhcmxl,M
Douglas Adams,RG91Z2xh,M
Dr. Seuss,RHItU2V1,M
E.E. Cummings,RS1FLUN1,M
Eleanor Roosevelt,RWxlYW5v,F
Elie Wiesel,RWxpZS1X,M
Ernest Hemingway,RXJuZXN0,M
Friedrich Nietzsche,RnJpZWRy,M
Garrison Keillor,R2Fycmlz,M
George Bernard Shaw,R2Vvcmdl,M
George Carlin,R3Vvcmdl,M
George Eliot,R4Vvcmdl,F
George R.R. Martin,R5Vvcmdl,M
Harper Lee,SGFycGVy,F
Haruki Murakami,SGFydWtp,M
Helen Keller,SGVsZW4t,F
J.D. Salinger,Si1ELVNh,M
J.K. Rowling,Si1LLVJv,F
J.M. Barrie,Si1NLUJh,M
J.R.R. Tolkien,Si1SLVIt,M
James Baldwin,SmFtZXMt,M
Jane Austen,SmFuZS1B,F
Jim Henson,SmltLUhl,M
Jimi Hendrix,SmltaS1I,M
John Lennon,Sm9obi1M,M
Jorge Luis Borges,Sm9yZ2Ut,M
Khaled Hosseini,S2hhbGVk,M
Madeleine L'Engle,TWFkZWxl,F
Marilyn Monroe,TWFyaWx5,F
Mark Twain,TWFyay1U,M
Martin Luther King Jr.,TWFydGlu,M
Mother Teresa,TW90aGVy,F
Pablo Neruda,UGFibG8t,M
Ralph Waldo Emerson,UmFscGgt,M
Stephenie Meyer,U3RlcGhl,F
Steve Martin,U3RldmUt,M
Suzanne Collins,U3V6YW5u,F
Terry Pratchett,VGVycnkt,M
Thomas A. Edison,VGhvbWFz,M
W.C. Fields,Vy1DLUZp,M
William Nicholson,V2lsbGlh,M
